企业名称,岗位名称,招聘人数,用工形式,薪资范围,岗位要求,工作地点,登记开始时间,登记结束时间,招聘联系人,联系人电话,登记机构
嘉瑞国际人力资源（北京）有限公司,少儿剑桥英语老师,10,全职,月薪(元):6000-8000,"1、英语综合能力强，发音纯正；
2、本科以上学历；
3、性格开朗，有较强的沟通能力；
4、有一年以上授课经验（最好有教过剑桥少儿或 KET、PET、FCE 课
程）；
5、英语专业毕业者优先；
6、持有专四、专八证书者优先。",北京市西城区黄寺大街25号院,7/5/2026,31/7/2026,宋*士,1523798****,朝阳门街道
北京万晨舒馨信息咨询有限公司,助理/秘书/文员,2,全职,月薪(元):4000-5000,"1、具备良好的文字功底，熟练使用Word、Excel、PPT等办公软件；
2、沟通能力强，工作细致严谨，责任心强，能承受一定的工作压力；
3、有较强的抗压能力，执行力强，具备快速响应意识，确保领导交办事务“事事有回音、件件有着落”；
4、政治立场坚定，无不良记录，遵守国家法律法规及单位规章制度。",北京市丰台区诺德中心二期11号楼809,23/12/2025,19/6/2026,李*士,1591081****,阎村镇
北京萃取应用技术研究所,成本会计,1,全职,月薪(元):4000-4800,有相关工作经验者优先,北京市密云区西田各庄镇大辛庄村南100米,15/5/2026,25/6/2026,王*,1531195****,十里堡镇
北京碧水物业管理有限责任公司,电工,1,全职,月薪(元):3500-5000,免费住宿+保险+单休+团建+节日福利+防暑降温福利+劳保,北京市昌平区回龙观镇碧水庄园综合楼307号,2/6/2026,2/7/2026,杨*莉,6973****,史各庄街道
北京市富乐科技开发有限公司,设备维修工程师,1,全职,月薪(元):6000-8000,"1.中专及以上（或受过相关岗位操作技能培训）；
2.对机械，电气，液压，数控系统，编程操作以及机械，电气图纸，数控专业英语等有一定基础；
3.有电工本，能接受值夜班。",平谷区马坊工业区西区50号,26/3/2026,19/6/2026,石*士,1326314****,平谷区
森特士兴集团股份有限公司,运营特种兵,100,全职,月薪(元):7000-10000,土木工程、工民建、工程管理、环境工程、机电一体化、电气工程及其自动化、能源与动力工程、新能源科学与工程、电子信息、通信、信息技术等相关专业,北京市北京经济技术开发区永昌东四路10号院,1/5/2026,1/7/2026,彭*理,1860093****,经济技术开发区
北京炎黄国芯科技有限公司,现场应用工程师（FAE）,4,全职,月薪(元):10000-30000,岗位职责：?    1. 参与公司产品的市场推广活动，协助销售团队进行客户需求与策略制定。?    2. 作为客户方面的主要技术联系人，及时响应客户的技术咨询，提供专业的解答和建议等解决方案。?   ,北京市海淀区中关村北大街127-1号1层1218室,21/5/2026,21/6/2026,康*理,1861098****,昌平区
北京阿姨来了家政服务有限公司,家务员,50,全职,月薪(元):6000-7000,身体健康、会说普通话、接受过专业培训、具备专业证书、诚信记录良好、无犯罪记录等,北京市朝阳区东四环中路远洋国际中心D座1201,26/5/2026,26/6/2026,张*师,6544****,八里庄街道
北京中和信达人力资源有限公司,普工/操作工,50,全职,月薪(元):3500-5000,适应倒班，8小时三班倒，周六日双休,北京市顺义区空港街道天竺综合保税区天柱东路 3 号?,2/6/2026,2/7/2026,张*理,1316753****,龙湾屯镇
北京市京阳劳务服务有限公司,行政主管,1,全职,月薪(元):5000-6000,熟练掌握行政工作流程。工作认真、细致、负责。可调的动个人人事档案。,北京市朝阳区高碑店乡高碑店村三区19号楼6号二层201室,7/5/2026,16/6/2026,王*理,1580152****,王四营地区
北京一脉导视科技有限公司,投标设计师,5,全职,月薪(元):5000-8000,"1. 具备标书方案制作相关经验，熟悉投标流程及相关规范；  
2. 工作细致认真，具备较强的文档处理能力和时间管理意识；  
3. 具备良好的沟通协调能力，能够跨部门协作推进项目；  
4. 熟练使用办公软件，能高效完成标书排版与材料整理。
5.大专及以上学历，熟练使用photoshop、illustrator、CAD、SU等设计软件；
6.1年以上标识导视设计工作经验
7.熟悉标识设计的常用材质和工艺制作流程",北京市通州区西集镇郎府大街18号院2号101,19/5/2026,19/6/2026,吕*生,1560024****,西集镇
北京壹米滴答供应链管理有限公司,机动车司机/驾驶,2,全职,月薪(元):5000-5500,退武军人优先,北京市密云区西田各庄镇朝阳村朝阳北路168号,19/5/2026,19/6/2026,郭*理,1851909****,太师屯镇
北京彩虹时间教育科技中心,武术教练/篮球教练,3,全职,月薪(元):3000-10000,"武术教练：
1.有一年以上武术教练教学经验；
2.组织和管理武术课程和活动；                    
3.具备专业的武术技能和知识；
4.善于积极主动沟通，配合校区完成各项活动。
有教练员证，有教学经验。
篮球教练：
有教练员证，有教学经验。",北京市通州区运河西大街35号,9/5/2026,8/8/2026,岳*昕,1358176****,新华街道
北京兴教人力资源服务有限责任公司,秘书岗,2,全职,月薪(元):8000-9000,能熟练操作计算机办公软件；文字功底扎实，具有较强的组织协调能力和高度的责任心，熟悉行政管理相关工作流程，具有2年及以上文字工作经验优先。,北京市东城区和平里北街14号A座9层,15/5/2026,15/6/2026,程*师,6217****,东城区
北京市石景山区新方向学科培训学校,市场兼职人员,10,兼职,时薪(元):40-40,"1、退休员工、学生兼职均可。
2、身体健康，口齿清晰，普通话流利，语音富有感染力；?
3、对销售工作有较高的热情；????
4、有相关工作经验者优先，无经验者可免费培训。",北京市石景山区金顶北路20号院1栋102-103室,14/5/2026,14/7/2026,王*师,1800114****,苹果园街道
北京惠邻百佳科技有限公司,品类运营助理,3,全职,月薪(元):6000-8000,1. 拥有一年及以上商超相关工作经验优先录用，熟悉商超运营模式。2. 喜爱运营类工作，善于思考，思维活跃。3. 执行力强，具备一定的逻辑分析能力，善于沟通。,北京市石景山区古城街道翔鹰大厦20层,28/1/2026,26/6/2026,余*生,1565288****,石景山区
北京盛联劳务服务有限公司,厨工,30,全职,月薪(元):4000-8000,从事后厨水产品加工，养鱼，杀鱼，捞虾身体健康，吃苦耐劳，学历不限，经验不限。,北京市朝阳区朝外大街乙6号7层0825,3/6/2026,3/7/2026,李*师,1850100****,海淀街道
北京华科同安监控技术有限公司,工程设计,5,全职,月薪(元):12000-15000,"具备3年以上机械工程设计经验，熟练使用SolidWorks、AutoCAD等设计软件，能独立完成从方案设计到出图的全流程工作。
熟悉国家及行业相关设计规范与标准，具备扎实的力学、材料学专业知识，能精准把控设计方案的可行性与安全性。
拥有良好的沟通协作能力与问题解决能力，能高效对接跨部门需求，及时处理设计及生产环节中的技术问题。",北京市石景山区八大处路点石商务公园6号楼13层,11/5/2026,14/6/2026,管*晶,1532153****,古城街道
北京中科印刷有限公司,半/全自动模切、糊盒机长,3,全职,月薪(元):6000-8000,"1、具有一定学习能力、沟通能力、团队意识，工作态度积极、吃苦耐劳、踏实肯干，服从管理。  
2、有印刷厂工作经验并具有专业的技能、可以独立完成生产任务的操作者优先。 
3、身体健康、无不良嗜好。
4、适应公司的倒班制度（白班、夜班）。",北京市通州区宋庄工业区一号楼101号,25/5/2026,25/6/2026,黄*师,1851555****,潞源街道
北京精才人力资源有限公司,护理员,30,全职,月薪(元):4100-4300,身体健康，无传染病，遵纪守法，无犯罪记录。,北京市海淀区清河三街52号,2/6/2026,2/7/2026,李*师,1369106****,西三旗街道
北京电子量检测装备有限责任公司,光学工程师-显微成像,5,全职,月薪(元):8000-15000,"1.具有光学、精密仪器、物理学及光电子等相关专业的硕士及以上学位；
2.深刻理解显微成像原理，熟悉相衬增强技术，明暗场镜检和照明设计；
3.熟悉散斑抑制、光束匀化、光瞳整形技术，分辨率增强等技术； 
4.深入理解傅里叶光学分析及部分相干理论；
5.有248nm,193nm深紫外光刻系统照明设计经验优先；
6.具有较强的动手能力，可熟练进行光学系统的安装调试；
7.精通Zemax，ASAP，lighttools等光仿真；
8.独立查阅英文文献和技术资料；",北京市朝阳区酒仙桥路14号兆维工业园,24/2/2026,31/3/2027,绳*航,1834532****,经济技术开发区
北京新辰华堂超市有限公司,内保,10,全职,月薪(元):5000-7000,有较强服务意识，退伍军人优先,北京市朝阳区阜通东大街6号院4号楼B1-039室,11/6/2026,19/6/2026,杜*士,1391005****,田村路街道
北京鑫利源家政服务有限公司,家政人员,5,全职,月薪(元):6000-8000,"沟通能力，有亲和力的
表达逻辑性强，吃苦耐劳，团队意识。",北京市房山区青龙湖镇坨里村村委会东35米,18/5/2026,18/6/2026,孙*,1352033****,房山区
上海束泰电子科技有限公司北京分公司,产品技术部助理,1,全职,月薪(元):7000-9000,"
1、全日制本科及以上学历；
2、熟练使用 Office 办公软件；
3、有一定英语基础；
4、具备良好的沟通能力。",北京经济技术开发区西环南路26号院嘉捷科技园 B 座,24/2/2026,31/12/2026,张*理,1343949****,经济技术开发区
北京国基伟业物业管理有限公司,保安,5,全职,月薪(元):4500-5000,"1.负责博物馆开放区域的现场秩序维护与引导；
2.及时处理场馆内各类安全突发事件；
3.完成上级交办的其他临时性工作任务。",北京市西城区阜成门外大街1号东楼1208室,19/5/2026,19/6/2026,刘*理,1851324****,展览路街道
北京博睿众鑫人力资源服务有限公司,外展运输项目助理,2,全职,年薪(元):120000-180000,"1 、全日制本科及以上学历 ，俄语、国际贸易，英语，物流管理，供应链管理等专业优先，应届毕业生优先 ；
2 、有较熟练的口头 ，书面交流能力 ，英语四六级以上；
3 、熟练运用office办公软件；",北京市大兴区中关村科技园区大兴生物医药产业基地永大路38号1幢4525室,9/6/2026,9/7/2026,M*ggie,1391171****,瀛海镇
北京昱翔航空服务有限公司,消防设施操作员,15,全职,月薪(元):4000-7000,"1.可开具本人及直系亲属的无犯罪记录证明
2.服从岗位领导安排。
3.可接受夜班
班制为上一休二",北京市顺义区李桥镇汇海南路1号院3号楼8层,24/2/2026,30/6/2026,方*,1593099****,顺义区
北京三奇本草科技有限公司,质量管理工程技术人员,2,全职,月薪(元):5000-7000,"1、食品、保健食品、生化、药学等相关专业大专以上学历，2~5年以上食品、保健食品行质量管理工作经验优先；
2、熟练运用ofice办公软件；熟悉GB 7718、GB 28050 GB 2760?知识，并能加以运用优先；
3、志向从事QA工作，做事认真负责、有耐心有原则、有较强的领悟理解能力，良好的团队合作精神及沟通协作能力。",北京市大兴区中关村科技园区大兴生物医药产业基地永兴路28号1幢三层310室,10/3/2026,31/10/2026,陈*,6125****,林校路街道
北京麦当劳食品有限公司旧鼓楼大街餐厅,餐厅服务员,20,全职,月薪(元):3500-4500,有相关工作经验者。,北京市西城区旧鼓楼大街47号一层A0102号地下一层B0102号,20/4/2026,26/6/2026,陈*生,1860043****,安定门街道
四川长虹佳华信息产品有限责任公司北京分公司,广告设计师,5,全职,月薪(元):6000-7000,"1、专业技能：熟练掌握各类设计软件，为设计工作的高效开展提供技术保障。?
2、审美与创意：具备良好的审美能力，拥有丰富的创意设计能力，能够打造出独具特色的视觉设计作品。",北京市丰台区南四环西路188号院北京长虹科技大厦,9/6/2026,9/7/2026,杜*蒙,1573687****,马家堡街道
北京德茂家政服务有限公司,保姆/母婴护理,50,全职,月薪(元):6000-12000,"1.有较强的语言沟通能力；
2.健康素质好，无不良嗜好；
3.有资格证书或从事相关工作2-3年经验者优先。",北京市大兴区黄村镇团河苑小区围墙外东侧50米团河鑫发农副食品市场A区15号,21/5/2026,21/6/2026,杨*,1391169****,昌平区
北京春鑫远大商贸有限公司,月嫂,50,全职,月薪(元):8000-20000,有爱耐心、干净勤快、责任心强、身体健康，持证、熟手优先，新手可免费培训上岗。,北京市房山区长沟镇长沟大街60号,9/6/2026,9/7/2026,李*士,1571007****,长沟镇
北京云上川科技发展有限公司,销售,1,全职,月薪(元):6000-8000,销售,北京市密云区杨各庄村原华洋果脯厂院内办公楼一层110室,2/6/2026,2/7/2026,余*,1398683****,鼓楼街道
北京普信天成科技有限公司,新媒体运营,4,全职,月薪(元):4000-6000,"1. 大专及以上学历；
2. 具备市场策划、社交媒体运营、新媒体推广相关工作经验，熟悉各主流新媒体平台玩法。",北京市海淀区交大东路36号楼1层104,6/6/2026,15/7/2026,高*博,1573330****,海淀区
北京顺丰速运有限公司,大件收派员,20,全职,月薪(元):8000-15000,"根据地区及网点业务规划，高效完成所属区域重货快件的收派件工作，开发新客户、维护老客户，大力宣传集团业务和服务，提高公司市场占有率。
1、负责速运网点内NC（异形件）和大件（≥15kg）快件的处理；
2、重货产品收派件要求与收派员一致；
3、重货客户开发和维护:
①收集区域内有效客户信息，并及时提报，保证新月结客户信息的有效获取；
②关注区域内老客户并做好相关维护工作；
4、货款回收：按约定账期催收月结款，保证款项的准时回收。",北京市顺义区南法信地区物流园六街10号,11/6/2026,11/7/2026,刘*理,1314617****,北新桥街道
北京苏纳可科技有限公司,采购跟单,2,全职,月薪(元):7000-10000,"1.?1-3年相关采购跟单经验，采购相关专业毕业，本科以上学历、985/211毕业院校优先；
2.?为人正直，吃苦耐劳，细致，有韧性，具有一定的协调能力和抗压能力；
3.?性格开朗，人际关系良好；
4.?熟练运用office办公软件。",北京东城区银河SOHOC座 10楼 31006,13/4/2026,31/7/2026,黄*师,1397079****,朝阳门街道
北京麦当劳食品有限公司新街口二号餐厅,共享清洁员工,20,全职,月薪(元):3000-4000,"掌握基础技巧并遵循规范，确保食品安全和清洁卫生，与其他伙伴合作，共同完成清洁任务，确保全面和彻底的清洁效果，提高工作效率，为顾客提供一个干净、整洁、安全的用餐环境。除需遵守麦当劳政策和程序之外，其主要职责包括但不限于下列各项：
定期进行滤油工作，确保炸油清洁、无杂质，保障食品口感和安全
遵循操作规程清洗机器，确保设备内部和外部的清洁度
清洁消毒所有器具，包括餐具、厨具、工作台等，确保顾客用餐环境的卫生安全",北京市西城区新街口北大街3号106A,19/5/2026,19/6/2026,陈*含,1851174****,德胜街道
中移铁通有限公司北京分公司,储备干部,2,全职,月薪(元):9000-15000,"1、良好的沟通能力，性格稳重耐心，具备较好的应变能力；
2、责任心强，做事认真负责，有较好的销售能力，有较好的团队协作精神；
3、形象良好，对移动通讯工作岗位感兴趣；要求有同行业经验优先。",北京市东城区前门东大街3号5幢4层415、416、417室,12/5/2026,12/7/2026,刘*生,1851173****,宋庄镇
北京资通汇鑫企业管理咨询有限公司,安全管理,1,全职,月薪(元):5000-5000,"1.?大专及以上学历
2.?相关工作经验优先，有相关证件优先
4.?具备良好的沟通协调、组织统筹能力，熟练使用Word、Excel等办公软件，可独立完成安全报告、台账编制。
6.?无安全事故责任记录，身体健康，能适应日常安全巡查、现场监管等工作需求。",北京市大兴区黄村镇富强路北侧2幢2层2-5号201室,12/5/2026,20/6/2026,张*,1760050****,史各庄街道
北京中科云玑科技有限公司,软件测试工程师,5,全职,月薪(元):8000-13000,1、具有三年以上测试经验，能够熟练使用相应测试工具搭建测试环境； 2、对测试工作有较强的兴趣和爱好；头脑灵活，具有较强的测试发散度； 3、计算机相关专业本科及以上学历。,北京市门头沟三家店东街51号二层,9/6/2026,9/7/2026,王*,1851127****,古城街道
北京安裕物业管理有限公司,保洁主管,1,全职,月薪(元):4000-6000,熟悉多种环境清洁操作规程，具备标准化保洁管理经验；具有家政服务、办公场所、居家/酒店保洁管理相关工作经验者优先；具备现场管理、人员调度和问题处理能力，责任心强、吃苦耐劳,北京市延庆区延庆镇东街26号4幢301室,28/5/2026,28/6/2026,白*士,1810125****,旧县镇
北京昆泰嘉禾酒店有限公司,餐厅服务员,1,全职,月薪(元):3200-3200,"形象气质良好，具备亲和力；沟通表达能力突出，能快速响应宾客需求，适应轮班工作节奏。
岗位职责： 严格遵守酒店各项规章制度；高效执行餐厅各项工作。
",北京市昌平区回龙观西大街107号,20/5/2026,20/6/2026,张*,1891182****,昌平区
北京京西山水文化旅游投资控股有限公司潭柘寺景区分公司,电瓶车司机,1,全职,月薪(元):3000-4000,需持有电瓶车特种设备作业人员证，驾龄10年以上。,北京市门头沟区潭柘寺景区,5/6/2026,5/7/2026,邓*师,1511006****,潭柘寺镇
骏丰健康管理服务（北京）有限公司,健康管理师,15,全职,月薪(元):5000-10000,具备良好的沟通能力和团队合作精神，能够与客户和团队成员有效的进行沟通和协作,北京市海淀区中关村豪景大厦A座1203,9/5/2026,20/6/2026,王*,1352007****,田村路街道
中安卫士（北京）保安服务有限公司,辅警,100,全职,年薪(元):80000-80000,"遵纪守法，品行端正；户籍不限；相应学历需取得毕业证书，学历需在教育部学信网备案可查询；具备履行职责必需的工作能力、身体条件和心理素质；具备招聘单位规定拟任职岗位的其他资格条件；在同等条件下，优先聘用下列人员：（1）烈士、因公牺牲人民警察的配偶、子女；（2）退役军人；（3）国家和本市评定、表彰的见义勇为人员；（4）具备特定岗位所需专业资质或者专门技能的人员；（5）警察类、政法类院校或者其他院校有关专业毕业生；（6）国家和本市规定应当优先聘用的其他人员。具有下列情形之一的，不得报考：（1）无违法犯罪记录（2）被依法列为失信联合惩戒对象的；（3）被开除公职、开除军籍的；（4）按照国家和本市规定不得招聘为警务辅助人员的其他情形。警务辅助人员的招聘实行回避制度。公安民警和职工的配偶、直系血亲关系、三代以内旁系血亲关系以及近姻亲关系，除另有规定的以外，原则上不得被招聘到该民警、职工同一部门，或者有直接管理、直接利害关系的岗位工作。
报名网址：https://wenjuan.com/s/i2mEfyP/。
招聘单位对报考者网上提交的报名信息进行资格初审。报考者应按照通知的时间和地点，携带身份证、学历证书、退出现役证书等原件及复印件进行资格复审。未按要求进行资格复审的视为放弃。",北京市海淀区西四环北路15号2层202,1/6/2026,30/6/2026,王*威,8825****,太平桥街道
北京高博博仁医院有限公司,检验师,2,全职,月薪(元):8000-14000,"基本条件：医学检验本科及以上学历；持有初级检验技师职称；2年以上检验工作经验。
专业技能：熟练掌握微生物、生化、免疫、临检等专业操作；熟悉质控流程及主流检验仪器维护。
核心能力：具备独立解决复杂技术问题的能力，良好的沟通协调与带教能力，责任心强。
优先条件：熟悉ISO 15189体系、有中级职称优先。",北京市丰台区郑王坟南6号ABC座北京（高博博仁医院）,19/5/2026,19/6/2026,赵*任,010-6329****,玉泉营街道
北京塔图因文化传媒有限公司,平面设计,1,全职,月薪(元):15000-25000,"1、1–3年视觉设计相关工作经验，美术、视觉设计、数字媒体或相关专业优先。
2、熟练使用 Photoshop / Illustrator / Figma 等设计工具。如掌握 After Effects / C4D / Blender 等动态或三维设计工具优先。对 AIGC工具（如 Midjourney、stable difusion/liblib、即梦等）有使用经验或学习兴趣
3、具备良好的视觉审美能力与版式设计能力。具备团队协作意识，能够适应传播项目节奏。
4、有抖音、小红书等互联网大厂设计经验或者科技企业相关设计经验者优先。",北京市朝阳区建国路89号院4号楼1101,27/5/2026,27/6/2026,张*师,1368312****,八里庄街道
北京顺城物流有限公司,码货员,10,全职,月薪(元):7000-10000,身体健康，无不良记录。无需工作经验，试岗有人带。,北京市大兴区元平北路与李柏路交叉口西南460米丰泰产业园,19/5/2026,19/6/2026,程*,1358172****,安定镇
北京鑫海大厦管理有限公司鑫海锦江大酒店,厨师/面点师,3,全职,月薪(元):5500-6500,有相关专业证书，身体健康，服从安排。,北京市东城区金宝街61号,12/6/2026,12/7/2026,段*理,1861159****,西长安街街道
北京家家无忧家政服务有限公司,家政维修、清洗员,50,全职,月薪(元):7000-9000,"会使用手机导航,有相关岗位经验。",北京市朝阳区建外soho东区九号商铺楼三层9332,20/4/2026,28/6/2026,潘*师,1872436****,安定门街道
泰康医疗管理有限公司,法律顾问,1,全职,月薪(元):10000-20000,"任职要求：
1、 2027届应届硕博，法学专业；
2、 曾经有过律所或者公司法务实习经验；
3、 熟悉公司法、合同法、劳动法、保险法、知识产权等相关法律法规；
4、 对医疗行业、保险行业等业务熟悉者优先考虑；
5、通过国家司法考试；
6、工作能力强，能够严谨、推进工作，具有较强的抗压能力和团队协作能力。
",北京市昌平区生命科学园科学园路21号1号楼(泰康中关村创新中心)三层306室,9/6/2026,9/7/2026,高*然,1565293****,昌平区
怡鹤康养老服务（北京）有限公司,家政服务员,30,全职,月薪(元):4000-9000,"1.持有效健康证；
2.无不良嗜好；
3.入职需提供近期体检报告及无犯罪证明。",北京市海淀区金沟河路19号20号楼4层419A-25室,12/6/2026,12/7/2026,张*坚,1371610****,青龙桥街道
北京海普企业管理有限公司,运营经理,1,全职,月薪(元):5000-10000,"1.为人正直、性格开朗、诚恳踏实、有耐心、注重细节；
2.具备较强的服务意识，有很好的逻辑思维与协调能力；
3.态度认真、精力充沛，要求呈现较高的工作效率，承压能力强
4.大专以上学历，能熟练操作办公软件
5.具备项目管理能力或销售思维的优先。",北京市丰台区东旭国际中心A座北栋512,22/5/2026,22/6/2026,葛*生,1881017****,看丹街道
北京壹加壹益学文化发展有限公司,课程顾问,12,全职,月薪(元):3000-4000,有教育行业课程顾问、招生咨询或销售类工作经验者优先，熟悉小学课后服务市场者更佳,北京市东城区朝阳门北大街11号一层105室,8/5/2026,30/6/2026,马*师,1330129****,东四街道
